,x,y,z,label
0,-151.15,-4.9,0,A1
1,-146.65,-4.9,0,A2
2,-142.15,-4.9,0,A3
3,-137.65,-4.9,0,A4
4,-133.15,-4.9,0,A5
5,-128.65,-4.9,0,A6
6,-124.15,-4.9,0,A7
7,-119.65,-4.9,0,A8
8,-115.15,-4.9,0,A9
9,-110.65,-4.9,0,A10
10,-106.15,-4.9,0,A11
11,-101.65,-4.9,0,A12
12,-97.15,-4.9,0,A13
13,-92.65,-4.9,0,A14
14,-88.15,-4.9,0,A15
15,-83.65,-4.9,0,A16
16,-79.15,-4.9,0,A17
17,-74.65,-4.9,0,A18
18,-70.15,-4.9,0,A19
19,-65.65,-4.9,0,A20
20,-61.150000000000006,-4.9,0,A21
21,-56.650000000000006,-4.9,0,A22
22,-52.150000000000006,-4.9,0,A23
23,-47.650000000000006,-4.9,0,A24
24,-151.15,-9.4,0,B1
25,-146.65,-9.4,0,B2
26,-142.15,-9.4,0,B3
27,-137.65,-9.4,0,B4
28,-133.15,-9.4,0,B5
29,-128.65,-9.4,0,B6
30,-124.15,-9.4,0,B7
31,-119.65,-9.4,0,B8
32,-115.15,-9.4,0,B9
33,-110.65,-9.4,0,B10
34,-106.15,-9.4,0,B11
35,-101.65,-9.4,0,B12
36,-97.15,-9.4,0,B13
37,-92.65,-9.4,0,B14
38,-88.15,-9.4,0,B15
39,-83.65,-9.4,0,B16
40,-79.15,-9.4,0,B17
41,-74.65,-9.4,0,B18
42,-70.15,-9.4,0,B19
43,-65.65,-9.4,0,B20
44,-61.150000000000006,-9.4,0,B21
45,-56.650000000000006,-9.4,0,B22
46,-52.150000000000006,-9.4,0,B23
47,-47.650000000000006,-9.4,0,B24
48,-151.15,-13.9,0,C1
49,-146.65,-13.9,0,C2
50,-142.15,-13.9,0,C3
51,-137.65,-13.9,0,C4
52,-133.15,-13.9,0,C5
53,-128.65,-13.9,0,C6
54,-124.15,-13.9,0,C7
55,-119.65,-13.9,0,C8
56,-115.15,-13.9,0,C9
57,-110.65,-13.9,0,C10
58,-106.15,-13.9,0,C11
59,-101.65,-13.9,0,C12
60,-97.15,-13.9,0,C13
61,-92.65,-13.9,0,C14
62,-88.15,-13.9,0,C15
63,-83.65,-13.9,0,C16
64,-79.15,-13.9,0,C17
65,-74.65,-13.9,0,C18
66,-70.15,-13.9,0,C19
67,-65.65,-13.9,0,C20
68,-61.150000000000006,-13.9,0,C21
69,-56.650000000000006,-13.9,0,C22
70,-52.150000000000006,-13.9,0,C23
71,-47.650000000000006,-13.9,0,C24
72,-151.15,-18.4,0,D1
73,-146.65,-18.4,0,D2
74,-142.15,-18.4,0,D3
75,-137.65,-18.4,0,D4
76,-133.15,-18.4,0,D5
77,-128.65,-18.4,0,D6
78,-124.15,-18.4,0,D7
79,-119.65,-18.4,0,D8
80,-115.15,-18.4,0,D9
81,-110.65,-18.4,0,D10
82,-106.15,-18.4,0,D11
83,-101.65,-18.4,0,D12
84,-97.15,-18.4,0,D13
85,-92.65,-18.4,0,D14
86,-88.15,-18.4,0,D15
87,-83.65,-18.4,0,D16
88,-79.15,-18.4,0,D17
89,-74.65,-18.4,0,D18
90,-70.15,-18.4,0,D19
91,-65.65,-18.4,0,D20
92,-61.150000000000006,-18.4,0,D21
93,-56.650000000000006,-18.4,0,D22
94,-52.150000000000006,-18.4,0,D23
95,-47.650000000000006,-18.4,0,D24
96,-151.15,-22.9,0,E1
97,-146.65,-22.9,0,E2
98,-142.15,-22.9,0,E3
99,-137.65,-22.9,0,E4
100,-133.15,-22.9,0,E5
101,-128.65,-22.9,0,E6
102,-124.15,-22.9,0,E7
103,-119.65,-22.9,0,E8
104,-115.15,-22.9,0,E9
105,-110.65,-22.9,0,E10
106,-106.15,-22.9,0,E11
107,-101.65,-22.9,0,E12
108,-97.15,-22.9,0,E13
109,-92.65,-22.9,0,E14
110,-88.15,-22.9,0,E15
111,-83.65,-22.9,0,E16
112,-79.15,-22.9,0,E17
113,-74.65,-22.9,0,E18
114,-70.15,-22.9,0,E19
115,-65.65,-22.9,0,E20
116,-61.150000000000006,-22.9,0,E21
117,-56.650000000000006,-22.9,0,E22
118,-52.150000000000006,-22.9,0,E23
119,-47.650000000000006,-22.9,0,E24
