,x,y,z,label
0,-145,-6.2,0,A1
1,-132,-6.2,0,A2
2,-119,-6.2,0,A3
3,-106,-6.2,0,A4
4,-93,-6.2,0,A5
5,-80,-6.2,0,A6
6,-67,-6.2,0,A7
7,-54,-6.2,0,A8
8,-145,-19.2,0,B1
9,-132,-19.2,0,B2
10,-119,-19.2,0,B3
11,-106,-19.2,0,B4
12,-93,-19.2,0,B5
13,-80,-19.2,0,B6
14,-67,-19.2,0,B7
15,-54,-19.2,0,B8
16,-145,-32.2,0,C1
17,-132,-32.2,0,C2
18,-119,-32.2,0,C3
19,-106,-32.2,0,C4
20,-93,-32.2,0,C5
21,-80,-32.2,0,C6
22,-67,-32.2,0,C7
23,-54,-32.2,0,C8
24,-145,-45.2,0,D1
25,-132,-45.2,0,D2
26,-119,-45.2,0,D3
27,-106,-45.2,0,D4
28,-93,-45.2,0,D5
29,-80,-45.2,0,D6
30,-67,-45.2,0,D7
31,-54,-45.2,0,D8
32,-145,-58.2,0,E1
33,-132,-58.2,0,E2
34,-119,-58.2,0,E3
35,-106,-58.2,0,E4
36,-93,-58.2,0,E5
37,-80,-58.2,0,E6
38,-67,-58.2,0,E7
39,-54,-58.2,0,E8
40,-145,-71.2,0,F1
41,-132,-71.2,0,F2
42,-119,-71.2,0,F3
43,-106,-71.2,0,F4
44,-93,-71.2,0,F5
45,-80,-71.2,0,F6
46,-67,-71.2,0,F7
47,-54,-71.2,0,F8
